"Date Heure, GMT+01:00",Pression différentielle (m),Température (K)
2019-08-28 15:15:00,0.028059192681000645,297.551
2019-08-28 15:30:00,0.029098213669106587,297.476
2019-08-28 15:45:00,0.028658273703499933,297.412
2019-08-28 16:00:00,0.0289863213207567,297.352
2019-08-28 16:15:00,0.029016462962266627,297.27799999999996
2019-08-28 16:30:00,0.0312533629174801,297.19899999999996
2019-08-28 16:45:00,0.03088996748706834,297.121
2019-08-28 17:00:00,0.030935361830296944,297.041
2019-08-28 17:15:00,0.03169814324151545,296.97799999999995
2019-08-28 17:30:00,0.03165884191057073,296.90599999999995
2019-08-28 17:45:00,0.03242670778361644,296.84099999999995
2019-08-28 18:00:00,0.03180361847390936,296.78
2019-08-28 18:15:00,0.0320205012666711,296.71999999999997
2019-08-28 18:30:00,0.0323650925302309,296.66499999999996
2019-08-28 18:45:00,0.03252859189262189,296.626
2019-08-28 19:00:00,0.03256874040595009,296.601
2019-08-28 19:15:00,0.03134180903182584,296.575
2019-08-28 19:30:00,0.03275790207829772,296.54499999999996
2019-08-28 19:45:00,0.03456139884238929,296.503
2019-08-28 20:00:00,0.03516725937524583,296.45799999999997
2019-08-28 20:15:00,0.035154991982878615,296.426
2019-08-28 20:30:00,0.034096724433246,296.405
2019-08-28 20:45:00,0.04369140612446547,296.38199999999995
2019-08-28 21:00:00,0.04445246582039602,296.35999999999996
2019-08-28 21:15:00,0.044216336466107606,296.33299999999997
2019-08-28 21:30:00,0.043593865961934944,296.298
2019-08-28 21:45:00,0.044109004817110456,296.268
2019-08-28 22:00:00,0.04209321057507902,296.239
2019-08-28 22:15:00,0.045386817048947266,296.181
2019-08-28 22:30:00,0.04753608935415162,296.143
2019-08-28 22:45:00,0.04685190923729655,296.11699999999996
2019-08-28 23:00:00,0.046195544600152454,296.092
2019-08-28 23:15:00,0.0446838067822454,296.08
2019-08-28 23:30:00,0.045342109203792176,296.063
2019-08-28 23:45:00,0.04527830180616004,296.04499999999996
2019-08-29 00:00:00,0.04381503800013008,296.02099999999996
2019-08-29 00:15:00,0.041474989658084264,295.991
2019-08-29 00:30:00,0.042666775612908214,295.957
2019-08-29 00:45:00,0.0421888129532067,295.92999999999995
2019-08-29 01:00:00,0.04298376814963469,295.89799999999997
2019-08-29 01:15:00,0.04275780635147483,295.868
2019-08-29 01:30:00,0.04175313693380153,295.856
2019-08-29 01:45:00,0.042172995463232374,295.83799999999997
2019-08-29 02:00:00,0.04267866488432442,295.82
2019-08-29 02:15:00,0.03947781086431074,295.79999999999995
2019-08-29 02:30:00,0.0407252804283091,295.791
2019-08-29 02:45:00,0.0378802614709794,295.78799999999995
2019-08-29 03:00:00,0.038276070687421115,295.784
2019-08-29 03:15:00,0.03795660361232007,295.79999999999995
2019-08-29 03:30:00,0.03949104509759006,295.803
2019-08-29 03:45:00,0.03939506596603768,295.806
