"Date Heure, GMT+01:00",Température 1 (K),Température 2 (K),Température 3 (K),Température 4 (K)
2019-09-04 01:30:00,295.07670242999995,293.19429951999996,291.22109260999997,289.20599999999996
2019-09-04 01:45:00,295.06128645999996,293.19388028,291.2236451,289.192
2019-09-04 02:00:00,295.04610973999996,293.19322007,291.22582528,289.179
2019-09-04 02:15:00,295.03129119,293.19232660999995,291.22764042,289.16499999999996
2019-09-04 02:30:00,295.01686916,293.19120802,291.22909783,289.15
2019-09-04 02:45:00,295.00274131,293.18987261999996,291.23020528999996,289.137
2019-09-04 03:00:00,294.98896168,293.18832886999996,291.23097054,289.12199999999996
2019-09-04 03:15:00,294.97544144,293.18658453,291.23140128,289.108
2019-09-04 03:30:00,294.96229194999995,293.18464646999996,291.23150539,289.094
2019-09-04 03:45:00,294.94959257,293.18252096,291.23129049,289.07899999999995
2019-09-04 04:00:00,294.93744961,293.18021439999995,291.23076464999997,289.066
2019-09-04 04:15:00,294.92595812999997,293.17773406,291.22993662,289.05199999999996
2019-09-04 04:30:00,294.9151508,293.17508834999995,291.22881594999996,289.039
2019-09-04 04:45:00,294.90516114999997,293.17228736,291.22741236999997,289.025
2019-09-04 05:00:00,294.89600822,293.16934277999997,291.22573565,289.012
2019-09-04 05:15:00,294.88777490999996,293.16626729999996,291.22379630999995,289.0
2019-09-04 05:30:00,294.88072302999996,293.16307429999995,291.22160586999996,288.988
2019-09-04 05:45:00,294.87500054,293.15977719999995,291.21917642999995,288.976
2019-09-04 06:00:00,294.87085733,293.1563902,291.21651997,288.964
2019-09-04 06:15:00,294.86827890999996,293.15292906999997,291.21364839999995,288.953
2019-09-04 06:30:00,294.86724921999996,293.14941247999997,291.21057479999996,288.94399999999996
2019-09-04 06:45:00,294.8676187,293.14586213999996,291.20731333,288.93399999999997
2019-09-04 07:00:00,294.86920225,293.1423016,291.20387931,288.926
2019-09-04 07:15:00,294.87208241999997,293.13875550999995,291.20028957,288.919
2019-09-04 07:30:00,294.87631892999997,293.13524891,291.19656261,288.91299999999995
2019-09-04 07:45:00,294.88209745,293.13180664,291.19271834,288.90799999999996
