Date/Heure,Pression différentielle (m),Temperature (K)
16/03/20 18:30:00,0.0117248752741074,280.601
16/03/20 18:45:00,0.0110744979774145,280.587
16/03/20 19:00:00,0.008745294643752,280.565
16/03/20 19:15:00,0.0083667240100621,280.546
16/03/20 19:30:00,0.0102879316597411,280.52599999999995
16/03/20 19:45:00,0.0098654971086145,280.512
16/03/20 20:00:00,0.0096262248194373,280.493
16/03/20 20:15:00,0.010182036129333,280.472
16/03/20 20:30:00,0.0121281196865368,280.453
16/03/20 20:45:00,0.0099074653300197,280.435
16/03/20 21:00:00,0.0098744269534977,280.416
16/03/20 21:15:00,0.0102502382634675,280.397
16/03/20 21:30:00,0.0099476485449664,280.378
16/03/20 21:45:00,0.0100163739321576,280.362
16/03/20 22:00:00,0.0110570110311437,280.337
16/03/20 22:15:00,0.0109176789985002,280.309
16/03/20 22:30:00,0.0097951249608113,280.287
16/03/20 22:45:00,0.0096788693914635,280.268
16/03/20 23:00:00,0.0110442320431159,280.241
16/03/20 23:15:00,0.0096846802876343,280.211
16/03/20 23:30:00,0.0096213291701795,280.183
16/03/20 23:45:00,0.0102666870095382,280.16
16/03/21 00:00:00,0.00869322843733,280.143
16/03/21 00:15:00,0.010012020786317,280.12699999999995
16/03/21 00:30:00,0.0094073164764701,280.108
16/03/21 00:45:00,0.0086271372465156,280.093
16/03/21 01:00:00,0.0107586576370533,280.08
16/03/21 01:15:00,0.0104447720630721,280.07
16/03/21 01:30:00,0.0105935571936556,280.061
16/03/21 01:45:00,0.0094583589204625,280.05499999999995
16/03/21 02:00:00,0.0084538647089404,280.048
16/03/21 02:15:00,0.0097120652641926,280.042
16/03/21 02:30:00,0.0096876356082825,280.036
16/03/21 02:45:00,0.0087048502296716,280.029
16/03/21 03:00:00,0.0082277069698328,280.028
16/03/21 03:15:00,0.0103877358444842,280.028
16/03/21 03:30:00,0.0092973228674979,280.03099999999995
16/03/21 03:45:00,0.0089174182915542,280.03099999999995
16/03/21 04:00:00,0.0089576544449922,280.018
16/03/21 04:15:00,0.0073507256824177,279.999
16/03/21 04:30:00,0.0091968545453175,279.977
16/03/21 04:45:00,0.0086265177416564,279.95399999999995
16/03/21 05:00:00,0.0075527941402471,279.92
16/03/21 05:15:00,0.0093161376241654,279.881
16/03/21 05:30:00,0.0086087626096056,279.857
16/03/21 05:45:00,0.008105822063472,279.84099999999995
16/03/21 06:00:00,0.0074355450032773,279.827
16/03/21 06:15:00,0.0088502180309549,279.811
16/03/21 06:30:00,0.0093296117992274,279.803
16/03/21 06:45:00,0.0084911009091521,279.797
16/03/21 07:00:00,0.0083128859156849,279.779
16/03/21 07:15:00,0.0086624777506958,279.77
16/03/21 07:30:00,0.007980904835021,279.765
16/03/21 07:45:00,0.0087506566497742,279.759
16/03/21 08:00:00,0.0076670240736299,279.759
16/03/21 08:15:00,0.0087194562182021,279.76399999999995
16/03/21 08:30:00,0.0087199265327674,279.779
16/03/21 08:45:00,0.0090324589141343,279.792
16/03/21 09:00:00,0.008203977313547,279.852
16/03/21 09:15:00,0.0072909638282406,279.947
16/03/21 09:30:00,0.0086700220341008,280.02599999999995
16/03/21 09:45:00,0.0096420251851081,280.093
16/03/21 10:00:00,0.0065916467249623,280.23
16/03/21 10:15:00,0.0075718556582779,280.351
16/03/21 10:30:00,0.0075666065158847,280.499
16/03/21 10:45:00,0.0090868395119287,280.634
16/03/21 11:00:00,0.0085723541748955,280.796
16/03/21 11:15:00,0.0088176731771595,280.95399999999995
16/03/21 11:30:00,0.0087527391820314,281.114
16/03/21 11:45:00,0.0090359860782182,281.22
16/03/21 12:00:00,0.0088369884432,281.22
16/03/21 12:15:00,0.0091775926822462,281.259
16/03/21 12:30:00,0.0098451826075727,281.295
16/03/21 12:45:00,0.0092509779017791,281.357
16/03/21 13:00:00,0.0091551116608589,281.369
16/03/21 13:15:00,0.0081510492631812,281.345
16/03/21 13:30:00,0.0101496824598757,281.398
16/03/21 13:45:00,0.0098231863385211,281.432
16/03/21 14:00:00,0.0092750864334178,281.472
16/03/21 14:15:00,0.0092620248218396,281.517
16/03/21 14:30:00,0.0088401327741301,281.578
16/03/21 14:45:00,0.009648388674354,281.623
16/03/21 15:00:00,0.0100382888516549,281.661
16/03/21 15:15:00,0.0108125849965867,281.673
16/03/21 15:30:00,0.0099108144282691,281.715
16/03/21 15:45:00,0.0098217863392725,281.772
16/03/21 16:00:00,0.0098209419619444,281.822
16/03/21 16:15:00,0.0100285290672139,281.819
16/03/21 16:30:00,0.0107290466794896,281.782
16/03/21 16:45:00,0.0107982231308856,281.765
16/03/21 17:00:00,0.0097091633465136,281.765
16/03/21 17:15:00,0.010415146667738,281.76
16/03/21 17:30:00,0.0099963206302496,281.738
16/03/21 17:45:00,0.0094422462009113,281.699
16/03/21 18:00:00,0.0107379380236518,281.654
16/03/21 18:15:00,0.0103340356056423,281.631
16/03/21 18:30:00,0.0090039137130443,281.628
16/03/21 18:45:00,0.0102055676146345,281.611
16/03/21 19:00:00,0.011579049421973,281.566
16/03/21 19:15:00,0.0095442396496835,281.517
16/03/21 19:30:00,0.0094885758740705,281.488
16/03/21 19:45:00,0.0089883417131656,281.46599999999995
16/03/21 20:00:00,0.0086943414649158,281.444
16/03/21 20:15:00,0.0089046157050536,281.419
16/03/21 20:30:00,0.0093107205055957,281.393
16/03/21 20:45:00,0.0082935387452582,281.366
16/03/21 21:00:00,0.0092925672478315,281.34099999999995
16/03/21 21:15:00,0.0095069010658123,281.307
16/03/21 21:30:00,0.0094652587812685,281.279
16/03/21 21:45:00,0.0098614209189448,281.259
16/03/21 22:00:00,0.0095882225626065,281.235
16/03/21 22:15:00,0.0091951456855117,281.188
16/03/21 22:30:00,0.0090621141139647,281.134
16/03/21 22:45:00,0.0091710564042335,281.089
16/03/21 23:00:00,0.0091257671053304,281.037
16/03/21 23:15:00,0.0089814204279429,280.976
16/03/21 23:30:00,0.0086805820277695,280.909
16/03/21 23:45:00,0.0085081923682434,280.846
16/03/22 00:00:00,0.008794413835439,280.79299999999995
16/03/22 00:15:00,0.0100923657917936,280.747
16/03/22 00:30:00,0.0094166374604205,280.713
16/03/22 00:45:00,0.008416183576381,280.681
16/03/22 01:00:00,0.0091054053331766,280.653
16/03/22 01:15:00,0.0096458419593887,280.634
16/03/22 01:30:00,0.0082021901330322,280.622
16/03/22 01:45:00,0.0083790134331641,280.611
16/03/22 02:00:00,0.0104001805897372,280.598
16/03/22 02:15:00,0.0085983330203481,280.586
16/03/22 02:30:00,0.0083952517445363,280.575
16/03/22 02:45:00,0.0100523400730541,280.559
16/03/22 03:00:00,0.0088583350125848,280.54299999999995
16/03/22 03:15:00,0.0081776497875492,280.524
16/03/22 03:30:00,0.0105529338589514,280.504
16/03/22 03:45:00,0.0095529502894772,280.487
16/03/22 04:00:00,0.0083191457020043,280.471
16/03/22 04:15:00,0.0098428187710321,280.458
16/03/22 04:30:00,0.0083290691145095,280.449
16/03/22 04:45:00,0.009131835242834,280.44199999999995
16/03/22 05:00:00,0.0091689139468386,280.436
16/03/22 05:15:00,0.0078668302237891,280.431
16/03/22 05:30:00,0.009366543951472,280.427
16/03/22 05:45:00,0.0082652669328499,280.422
16/03/22 06:00:00,0.0096008015959052,280.41299999999995
