"Date Heure, GMT+01:00",Débit d'eau échangé (m/s) - pour les meilleurs paramètres,Débit d'eau échangé (m/s) - quantile 0.05,Débit d'eau échangé (m/s) - quantile 0.5,Débit d'eau échangé (m/s) - quantile 0.95
16/03/21 17:15:00,1.7915566786541604e-05,5.659706481253579e-09,6.538731440741685e-07,0.00010790509986691177
16/03/21 17:30:00,1.7136100723291747e-05,1.9304309262224706e-09,6.048440468475746e-07,0.00010354450205340981
16/03/21 17:45:00,1.6205985957640223e-05,1.3197212211935039e-09,5.77890716613183e-07,9.780950495041907e-05
16/03/21 18:00:00,1.8477216144674458e-05,7.397828571953369e-09,6.795775675527693e-07,0.00011125614400953054
16/03/21 18:15:00,1.7712782209855504e-05,2.474739968505446e-09,6.244508199415577e-07,0.00010704225132940337
16/03/21 18:30:00,1.543131838843692e-05,-1.5152186172429083e-09,5.407829917203344e-07,9.325973223894835e-05
16/03/21 18:45:00,1.7568852854310535e-05,6.464230928315828e-09,6.506116392301919e-07,0.00010574314364930615
16/03/21 19:00:00,1.9901173800462857e-05,8.510192550659212e-09,7.208544730019639e-07,0.00011995804379694164
16/03/21 19:15:00,1.631633313081693e-05,-3.396684711276521e-09,5.575646468969353e-07,9.884222527034581e-05
16/03/21 19:30:00,1.6318892448907718e-05,2.6094193472658844e-09,5.920875878473453e-07,9.830560156842694e-05
16/03/21 19:45:00,1.5405410522362217e-05,8.486168018295714e-11,5.430803753370128e-07,9.310724271927029e-05
16/03/21 20:00:00,1.4930117686162703e-05,8.76911598890473e-10,5.347706064640079e-07,9.006698383018374e-05
16/03/21 20:15:00,1.529314431536477e-05,2.3879216382027835e-09,5.491050387718133e-07,9.224438690580428e-05
16/03/21 20:30:00,1.599520692252554e-05,3.639947676603583e-09,5.758078032158664e-07,9.645635145716369e-05
16/03/21 20:45:00,1.4204706531018019e-05,-1.4357529609654307e-09,4.964340973856451e-07,8.590133802499622e-05
16/03/21 21:00:00,1.5998406524886377e-05,5.522770685217893e-09,5.918228112022916e-07,9.628068801248446e-05
16/03/21 21:15:00,1.6310255887219682e-05,3.450421282025218e-09,5.814720225316705e-07,9.848126501310617e-05
16/03/21 21:30:00,1.6254283764283173e-05,3.207654808434768e-09,5.82745144583896e-07,9.80527329375036e-05
16/03/21 21:45:00,1.6940994100878015e-05,4.635834827126928e-09,6.100282234910992e-07,0.00010216239024884999
16/03/21 22:00:00,1.6449390386696905e-05,2.4597437420226242e-09,5.850005777574552e-07,9.932288230629638e-05
16/03/21 22:15:00,1.57809099619044e-05,1.7562804544013488e-09,5.632936108668218e-07,9.525182395009324e-05
16/03/21 22:30:00,1.5557017832179554e-05,2.0790476007448433e-09,5.567416678786685e-07,9.387936734128743e-05
16/03/21 22:45:00,1.5749244994367473e-05,2.783167474262882e-09,5.650678076563054e-07,9.50047469814308e-05
16/03/21 23:00:00,1.5665125829400495e-05,2.4318509428411517e-09,5.602222472589347e-07,9.4537615950685e-05
16/03/21 23:15:00,1.5416924725286663e-05,2.1270902816894477e-09,5.512575285138155e-07,9.303581464337185e-05
16/03/21 23:30:00,1.4896215361659415e-05,1.386113002155298e-09,5.314274176271283e-07,8.992219954961911e-05
16/03/21 23:45:00,1.4605473552364856e-05,1.533545623821908e-09,5.224512165113993e-07,8.813472231850028e-05
